"run"	"study"	"experiment"	"cell"	"other"	"replicate"	"treament"	"sample_acc"	"title"	"sample_attribute"	"spots"	"platform"	"layout"	"strategy"	"SRA"	"phred"	"strand"
"SRR10575172"	"GSE141323"	"SRX7256472"	"RWPE-1"	NA	1	"Parental"	"SRS5753954"	"GSM4200853: RWPE 1; Homo sapiens; RNA-Seq"	" || source_name: cell line || cell line: Benign human prostate stromal cells (BHPrS1) || genotype/variation: RWPE"	"56.38M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1005664"	"--phred33"	"--rna-strandness RF"
"SRR10575173"	"GSE141323"	"SRX7256473"	"RWPE-1"	NA	2	"Parental"	"SRS5753955"	"GSM4200854: RWPE 2; Homo sapiens; RNA-Seq"	" || source_name: cell line || cell line: Benign human prostate stromal cells (BHPrS1) || genotype/variation: RWPE"	"64.32M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1005664"	"--phred33"	"--rna-strandness RF"
"SRR10575174"	"GSE141323"	"SRX7256474"	"RWPE-1"	NA	3	"Parental"	"SRS5753956"	"GSM4200855: RWPE 3; Homo sapiens; RNA-Seq"	" || source_name: cell line || cell line: Benign human prostate stromal cells (BHPrS1) || genotype/variation: RWPE"	"62.1M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1005664"	"--phred33"	"--rna-strandness RF"
"SRR17321381"	"GSE192548"	"SRX13496918"	"MCF10A"	NA	3	"siControl"	"SRS11392277"	"GSM5751244: MCF10A-M2 cells transfected with siNT (Replicate #3); Homo sapiens; RNA-Seq"	" || source_name: pre-malignant human breast cell line || cell line: MCF10A-M2 || cell type: MCF10A cells (normal human breast epithelial cell line) transformed with HA-Ras || treatment: transfected with non-targeting siRNA (siNT) || genotype: control"	"47.08M"	"DNBSEQ-G400"	"P"	"RNA-Seq"	"SRA1348288"	"--phred33"	"unstranded"
"SRR17321382"	"GSE192548"	"SRX13496917"	"MCF10A"	NA	2	"siControl"	"SRS11392276"	"GSM5751243: MCF10A-M2 cells transfected with siNT (Replicate #2); Homo sapiens; RNA-Seq"	" || source_name: pre-malignant human breast cell line || cell line: MCF10A-M2 || cell type: MCF10A cells (normal human breast epithelial cell line) transformed with HA-Ras || treatment: transfected with non-targeting siRNA (siNT) || genotype: control"	"47.81M"	"DNBSEQ-G400"	"P"	"RNA-Seq"	"SRA1348288"	"--phred33"	"unstranded"
"SRR17321383"	"GSE192548"	"SRX13496916"	"MCF10A"	NA	1	"siControl"	"SRS11392275"	"GSM5751242: MCF10A-M2 cells transfected with siNT (Replicate #1); Homo sapiens; RNA-Seq"	" || source_name: pre-malignant human breast cell line || cell line: MCF10A-M2 || cell type: MCF10A cells (normal human breast epithelial cell line) transformed with HA-Ras || treatment: transfected with non-targeting siRNA (siNT) || genotype: control"	"47.74M"	"DNBSEQ-G400"	"P"	"RNA-Seq"	"SRA1348288"	"--phred33"	"unstranded"
"SRR5807527___SRR5807528___SRR5807529___SRR5807530"	"GSE100839"	"SRX2986138"	"ARPE-19"	NA	1	"Parental"	"SRS2338621"	"GSM2694827: 1_24C; Homo sapiens; RNA-Seq"	" || source_name: ARPE-19 cell || cell type: human retinal pigment epithelial cell line || cell line: ARPE-19 || infection: Mock"	"51.11M"	"NextSeq 500"	"P"	"RNA-Seq"	"SRA584250"	"--phred33"	"--rna-strandness RF"
"SRR5807531___SRR5807532___SRR5807533___SRR5807534"	"GSE100839"	"SRX2986139"	"ARPE-19"	NA	2	"Parental"	"SRS2338623"	"GSM2694828: 2_24C; Homo sapiens; RNA-Seq"	" || source_name: ARPE-19 cell || cell type: human retinal pigment epithelial cell line || cell line: ARPE-19 || infection: Mock"	"39.71M"	"NextSeq 500"	"P"	"RNA-Seq"	"SRA584250"	"--phred33"	"--rna-strandness RF"
"SRR5807535___SRR5807536___SRR5807537___SRR5807538"	"GSE100839"	"SRX2986140"	"ARPE-19"	NA	3	"Parental"	"SRS2338622"	"GSM2694829: 3_24C; Homo sapiens; RNA-Seq"	" || source_name: ARPE-19 cell || cell type: human retinal pigment epithelial cell line || cell line: ARPE-19 || infection: Mock"	"46.59M"	"NextSeq 500"	"P"	"RNA-Seq"	"SRA584250"	"--phred33"	"--rna-strandness RF"
"SRR12193639"	"GSE154197"	"SRX8707001"	"ARPE-19"	NA	1	"siControl"	"SRS6983688"	"GSM4665780: RPE Control replicate 1; Homo sapiens; RNA-Seq"	" || source_name: retinal pigment epithial || biomaterial_provider: ATCC CRL-2302 || cell line: ARPE-19 || sirna target: non-targeting"	"48.07M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA1097278"	"--phred33"	"--rna-strandness F"
"SRR12193640"	"GSE154197"	"SRX8707002"	"ARPE-19"	NA	2	"siControl"	"SRS6983689"	"GSM4665781: RPE Control replicate 2; Homo sapiens; RNA-Seq"	" || source_name: retinal pigment epithial || biomaterial_provider: ATCC CRL-2303 || cell line: ARPE-19 || sirna target: non-targeting"	"44.14M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA1097278"	"--phred33"	"--rna-strandness F"
